date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:51	123804/123804	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/index_3.html	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/index_3.html	(from )
12:41:52	708/708	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Jan%202024%2006:41:51%20GMT	https://html.themefax.com/robots.txt		(from )
12:41:52	1602/1602	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Jan%202024%2005:58:38%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/images/favicon.png	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/images/favicon.png	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:52	59344/59344	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/all.min.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/all.min.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:52	232948/232948	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/bootstrap.min.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/bootstrap.min.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:52	3938/3938	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/nice-select.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/nice-select.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:53	1888/1888	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/slick.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/slick.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:53	20636/20636	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/select2.min.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/select2.min.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:53	57095/57095	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/animate.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/animate.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:53	484/484	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/animated_barfiller.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/animated_barfiller.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:54	19266/19266	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/summernote.min.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/summernote.min.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:54	1987/1987	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/scroll_button.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/scroll_button.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:54	135621/135621	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/utilities.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/utilities.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:55	2380/2380	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/jquery.simple-bar-graph.min.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/jquery.simple-bar-graph.min.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:55	161465/161465	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2016:27:32%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/style.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/style.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:55	73143/73143	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jan%202024%2016:59:52%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/css/responsive.css	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/css/responsive.css	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:55	2184/2184	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Jan%202024%2005:58:38%20GMT	https://html.themefax.com/faxestate/html/ltr/assets/images/logo_3.png	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/assets/images/logo_3.png	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:56	121367/121367	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/index.html	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/index.html	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:56	122459/122459	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/index_2.html	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/index_2.html	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:56	51131/51131	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2005:58:42%20GMT	https://html.themefax.com/faxestate/html/ltr/about_us.html	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/about_us.html	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
12:41:56	97587/97587	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2005:58:36%20GMT	https://html.themefax.com/faxestate/html/ltr/property_grid_view.html	D:/Httrack/Faxestate/html.themefax.com/faxestate/html/ltr/property_grid_view.html	(from https://html.themefax.com/faxestate/html/ltr/index_3.html)
